step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,copepod_infected_vel,infected_feeding_rate,seed
1,298,2000,401,150,0,20,0,1.5,10,246
2,292,1987,373,165,12,20,2,1.5,10,246
3,298,2227,358,180,21,20,4,1.5,10,246
4,274,2621,352,202,32,20,7,1.5,10,246
5,256,3324,356,188,48,20,4,1.5,10,246
6,250,3730,355,176,60,20,5,1.5,10,246
7,219,4328,363,153,67,20,7,1.5,10,246
8,191,5049,360,138,72,20,3,1.5,10,246
9,175,5274,369,126,72,20,5,1.5,10,246
10,166,5748,417,137,63,20,3,1.5,10,246
11,134,6069,427,146,63,20,4,1.5,10,246
12,103,6572,434,130,60,20,5,1.5,10,246
13,89,7052,453,144,58,20,5,1.5,10,246
14,81,7623,462,120,55,20,4,1.5,10,246
15,61,8073,473,118,55,20,7,1.5,10,246
16,36,8755,513,104,55,20,5,1.5,10,246
17,33,9272,533,105,49,20,3,1.5,10,246
18,30,9521,578,106,44,20,5,1.5,10,246
19,21,9914,617,93,39,20,5,1.5,10,246
20,13,10362,637,63,37,20,3,1.5,10,246
21,8,10456,691,60,33,20,5,1.5,10,246
22,6,10715,728,47,25,20,5,1.5,10,246
23,7,10877,774,40,22,20,5,1.5,10,246
24,4,11127,811,34,19,20,1,1.5,10,246
25,4,10901,864,29,16,20,1,1.5,10,246
26,4,10688,914,30,13,20,2,1.5,10,246
27,2,10500,991,34,11,20,3,1.5,10,246
28,2,10418,1056,27,12,20,3,1.5,10,246
29,0,10187,1103,35,10,20,4,1.5,10,246
30,0,10020,1218,38,6,20,1,1.5,10,246
31,0,9643,1293,38,3,20,3,1.5,10,246
32,0,9574,1420,41,3,20,3,1.5,10,246
33,0,9356,1522,39,3,20,1,1.5,10,246
34,0,8899,1623,47,2,20,0,1.5,10,246
35,0,8428,1741,34,2,20,0,1.5,10,246
36,0,7913,1859,43,1,20,0,1.5,10,246
37,0,7415,1977,43,1,20,1,1.5,10,246
38,0,6955,2090,44,0,20,0,1.5,10,246
39,0,6435,2249,60,0,20,0,1.5,10,246
40,0,5939,2373,64,0,20,0,1.5,10,246
41,0,5473,2538,74,0,20,0,1.5,10,246
42,0,5044,2688,64,0,20,0,1.5,10,246
43,0,4553,2857,62,0,20,0,1.5,10,246
44,0,4128,3087,66,0,20,0,1.5,10,246
45,0,3699,3243,50,0,20,0,1.5,10,246
46,0,3270,3447,38,0,20,0,1.5,10,246
47,0,2916,3656,33,0,20,0,1.5,10,246
48,0,2552,3881,29,0,20,0,1.5,10,246
49,0,2222,4123,26,0,20,0,1.5,10,246
50,0,1906,4369,17,0,20,0,1.5,10,246
51,0,1579,4642,16,0,20,0,1.5,10,246
52,0,1343,4951,14,0,20,0,1.5,10,246
53,0,1136,5000,13,0,20,0,1.5,10,246
54,0,945,5000,13,0,20,0,1.5,10,246
55,0,767,5000,23,0,20,0,1.5,10,246
56,0,632,5000,18,0,20,0,1.5,10,246
57,0,507,5000,20,0,20,0,1.5,10,246
58,0,373,5000,22,0,20,0,1.5,10,246
59,0,291,5000,25,0,20,0,1.5,10,246
60,0,220,5000,36,0,20,0,1.5,10,246
