step,count_grazer,count_parasite,count_phytoplankton,count_copepod,count_copepodInf,count_stickleback,count_sticklebackInf,copepod_infected_vel,infected_feeding_rate,seed
0,300,2000,400,150,0,20,0,1.0,2,113
1,296,2000,402,150,0,20,0,1.0,2,113
2,351,1988,369,161,9,20,0,1.0,2,113
3,388,1971,345,157,24,20,4,1.0,2,113
4,440,2278,305,179,38,20,5,1.0,2,113
5,522,2685,278,172,46,20,4,1.0,2,113
6,552,3102,247,143,48,20,5,1.0,2,113
7,592,3482,228,121,41,20,3,1.0,2,113
8,582,3774,198,107,35,20,7,1.0,2,113
9,570,4525,198,110,31,20,5,1.0,2,113
10,579,5185,199,94,22,20,7,1.0,2,113
11,540,5859,192,82,15,20,5,1.0,2,113
12,531,6478,184,76,7,20,2,1.0,2,113
13,523,6625,178,89,10,20,0,1.0,2,113
14,512,6621,184,92,7,20,2,1.0,2,113
15,489,6869,185,86,3,20,0,1.0,2,113
16,453,6758,179,88,3,20,1,1.0,2,113
17,418,6732,173,84,0,20,1,1.0,2,113
18,399,6700,182,95,1,20,0,1.0,2,113
19,372,6590,166,83,1,20,0,1.0,2,113
20,320,6432,171,88,1,20,0,1.0,2,113
21,299,6275,173,82,0,20,0,1.0,2,113
22,295,6075,167,79,0,20,0,1.0,2,113
23,287,5859,171,80,0,20,0,1.0,2,113
24,274,5614,174,82,1,20,0,1.0,2,113
25,279,5359,166,60,1,20,0,1.0,2,113
26,294,5068,173,50,0,20,0,1.0,2,113
27,284,4697,171,40,1,20,0,1.0,2,113
28,249,4281,172,33,2,20,0,1.0,2,113
29,242,3867,166,37,1,20,0,1.0,2,113
30,247,3428,164,34,0,20,0,1.0,2,113
31,221,3000,173,36,1,20,0,1.0,2,113
32,208,2687,180,42,0,20,0,1.0,2,113
33,227,2386,178,57,0,20,0,1.0,2,113
34,218,2073,186,59,0,20,0,1.0,2,113
35,209,1757,181,60,0,20,0,1.0,2,113
36,186,1467,200,62,0,20,0,1.0,2,113
37,176,1187,222,68,0,20,0,1.0,2,113
38,180,928,235,67,0,20,0,1.0,2,113
39,149,680,244,60,0,20,0,1.0,2,113
40,137,477,258,58,0,20,0,1.0,2,113
41,137,310,270,56,0,20,0,1.0,2,113
42,125,173,294,54,0,20,0,1.0,2,113
43,127,100,310,49,0,20,0,1.0,2,113
